7:17,302,866,650,518,224,226,138,301,361
18:17,302,866,650,518,224,226,138,301,361
19:5048,5145,2048,98,4600,6774,9127,13894,741,17974
36:302,17,654,76,616,58,8,866,84,29
37:302,654,76,616,58,8,866,84,29,17
41:302,17,654,76,616,58,8,866,84,29
42:302,17,654,76,616,58,8,866,84,29
43:301,17,302,8,698,947,45,168,429,719
44:17,302,866,650,518,224,226,138,301,361
45:17,698,866,650,518,224,226,138,301,361
46:17,302,866,650,518,224,226,138,301,361
59:302,17,654,76,616,58,8,866,84,29
60:17,302,866,650,518,224,226,138,301,361
69:302,17,654,76,616,58,8,866,84,29
70:698,17,302,224,8,2139,1119,409,378,45
94:302,8,654,76,616,58,866,84,29,17
106:17,302,866,650,518,224,226,138,301,361
115:302,654,76,616,58,8,866,84,29,17
116:224,17,301,669,262,873,947,1410,901,931
142:302,17,8,654,76,616,58,866,84,29
143:302,654,76,616,58,8,866,84,29,17
148:81,17,302,224,8,70,226,262,873,986
150:302,17,654,76,616,58,8,866,84,29
156:17,302,866,650,518,224,226,138,301,361
161:17,302,866,650,518,224,226,138,301,361
171:17,302,866,650,518,224,226,138,301,361
172:302,17,654,76,616,58,8,866,84,29
174:302,8,654,76,616,58,866,84,29,17
177:302,654,76,616,58,8,866,84,29,17
196:302,17,654,76,616,58,8,866,84,29
202:17,302,81,866,650,518,224,226,138,301
211:500,302,1539,1131,1957,22,699,7624,814,3661
217:302,17,654,76,616,58,8,866,84,29
220:17,866,302,224,8,650,518,226,138,301
223:302,17,654,76,616,58,8,866,84,29
224:500,301,224,736,302,1539,1131,1957,22,699
225:17,302,866,650,518,224,226,138,301,361
228:17,302,866,650,518,224,226,138,301,361
229:302,17,654,76,616,58,8,866,84,29
231:17,302,866,650,518,224,226,138,301,361
232:17,698,866,650,518,224,226,138,301,361
238:669,710,8,302,947,409,378,931,45,1187
241:302,17,654,76,616,58,8,866,84,29
245:81,70,226,262,873,986,1535,780,1276,5767
249:17,302,866,650,518,224,226,138,301,361
250:302,17,654,76,616,58,8,866,84,29
253:301,4755,17,947,45,168,429,719,353,1002
257:302,17,654,76,616,58,8,866,84,29
272:302,17,224,654,76,616,58,8,866,84
273:302,17,654,76,616,58,8,866,84,29
288:302,17,654,76,616,58,8,866,84,29
290:302,17,654,76,616,58,8,866,84,29
291:302,654,76,616,58,8,866,84,29,17
292:17,302,866,650,518,224,226,138,301,361
294:302,17,654,76,616,58,8,866,84,29
328:17,302,301,2848,866,650,518,224,226,138
331:302,654,76,616,58,8,866,84,29,17
345:224,2848,698,17,669,262,873,947,1410,901
361:302,17,654,76,616,58,8,866,84,29
376:302,17,654,76,616,58,8,866,84,29
384:17,302,866,650,518,224,226,138,301,361
401:302,17,654,76,616,58,8,866,84,29
402:302,17,654,76,616,58,8,866,84,29
410:301,4755,736,947,45,168,429,719,353,1002
448:17,302,2848,866,650,518,224,226,138,301
449:302,17,654,76,616,58,8,866,84,29
450:302,17,654,76,616,58,8,866,84,29
452:17,2848,698,866,650,518,224,226,138,301
476:302,17,654,76,616,58,8,866,84,29
488:302,654,76,616,58,8,866,84,29,17
490:302,654,76,616,58,8,866,84,29,17
494:302,17,654,76,616,58,8,866,84,29
500:17,302,866,650,518,224,226,138,301,361
514:302,17,301,698,654,76,616,58,8,866
525:302,17,81,8,224,654,76,616,58,866
535:302,654,76,616,58,8,866,84,29,17
536:17,302,866,650,518,224,226,138,301,361
538:302,17,736,654,76,616,58,8,866,84
539:17,302,866,650,518,224,226,138,301,361
564:17,302,866,650,518,224,226,138,301,361
582:302,17,654,76,616,58,8,866,84,29
585:302,17,654,76,616,58,8,866,84,29
590:302,654,76,616,58,8,866,84,29,17
601:224,17,698,669,262,873,947,1410,901,931
618:81,302,17,70,226,262,873,986,1535,780
624:302,669,698,17,736,301,654,76,616,58
627:302,17,301,654,76,616,58,8,866,84
628:302,654,76,616,58,8,866,84,29,17
632:301,8,224,669,947,45,168,429,719,353
633:17,302,866,650,518,224,226,138,301,361
634:81,301,224,8,17,70,226,262,873,986
646:17,302,698,866,650,518,224,226,138,301
666:669,947,409,378,931,45,1187,398,353,953
667:302,17,654,76,616,58,8,866,84,29
669:224,17,301,669,262,873,947,1410,901,931
678:17,302,866,650,518,224,226,138,301,361
680:302,17,654,76,616,58,8,866,84,29
681:301,17,302,710,947,45,168,429,719,353
682:301,17,947,45,168,429,719,353,1002,953
683:8,301,698,81,70,226,669,262,787,873
684:301,947,45,168,429,719,353,1002,953,1539
715:669,947,409,378,931,45,1187,398,353,953
716:17,302,866,650,518,224,226,138,301,361
